major,level,gender,gpa,ethical,scenario1,scenario2,scenario3,course,university
3,2,0,84,1,1,0,0,1,1
3,3,0,78,4,1,0,0,0,1
3,3,0,83,3,1,0,0,0,1
4,3,0,82.5,3,1,0,0,0,1
3,3,1,93,3,1,0,0,0,1
3,2,1,79,2,1,0,1,1,1
3,2,1,90,3,0,1,1,1,1
3,2,1,83,3,1,0,1,1,1
2,2,1,79,2,1,0,0,1,1
2,2,1,83,4,1,0,1,1,1
3,2,0,80,2,1,0,0,1,1
3,2,0,85.06,4,0,1,2,1,1
3,2,,82.08,4,1,1,1,1,1
0,3,1,90,4,0,1,1,0,1
5,3,1,82,4,0,1,1,1,1
3,2,0,80,2,1,0,1,1,1
5,3,0,92,3,1,0,0,0,1
2,1,1,,4,0,0,1,1,1
3,1,1,,3,1,1,1,1,1
0,2,0,77,2,0,0,0,1,1
2,3,1,75,3,0,0,0,1,1
0,3,0,72,4,1,,1,0,1
3,2,0,74.5,4,1,0,1,1,1
2,2,0,,2,1,0,0,1,1
3,1,0,80,3,1,0,1,1,1
2,2,1,74,2,0,0,0,1,1
0,2,1,76,2,0,0,1,1,1
0,3,1,84,3,0,1,1,1,1
3,2,0,,2,1,0,0,1,1
3,2,1,80,3,0,0,0,1,1
3,2,0,84.69,4,0,0,0,1,1
2,1,1,80,3,0,0,1,1,1
3,1,1,,4,0,1,1,1,1
3,1,1,81.35,3,1,0,1,1,1
3,1,0,,3,0,0,0,1,1
3,1,1,80,3,1,1,1,1,1
2,1,1,,4,0,0,0,1,1
0,1,1,,3,0,0,0,1,1
2,2,1,70,4,1,0,0,2,1
3,2,1,73,2,0,0,0,1,1
2,2,1,88,3,0,0,1,0,1
2,2,0,77,4,0,0,0,1,1
3,2,1,80,2,0,0,0,1,1
3,2,0,75,4,1,1,1,1,1
2,3,1,80,3,0,0,0,0,1
3,1,0,70,3,0,0,0,1,1
3,2,1,88.6,3,0,1,0,1,1
3,2,0,77.83,3,0,0,0,1,1
3,2,1,80.45,2,0,0,0,1,1
3,2,0,86.25,2,1,1,1,1,1
2,2,1,79,2,1,1,1,1,1
3,1,0,78,3,1,0,1,1,1
3,2,0,87,3,1,1,1,1,1
3,2,0,77,0,0,0,0,2,1
0,1,1,,3,0,0,0,1,1
0,2,0,88,3,1,1,1,1,1
0,3,0,73,4,1,0,0,1,1
1,3,1,88.05,4,1,1,1,1,1
1,1,1,,3,0,1,1,1,1
1,1,1,,3,0,1,1,1,1
5,3,1,93,0,1,1,1,1,1
3,2,0,73,2,0,0,0,1,1
0,2,0,72,0,1,0,0,2,1
3,2,1,82,4,0,0,0,1,1
0,3,0,73,3,0,0,1,2,1
1,1,1,71.85,4,1,0,0,1,1
3,3,1,86.7,3,0,0,1,0,1
,2,0,87.5,4,0,0,1,1,1
,3,1,80,2,1,0,0,0,1
,2,0,75,2,0,0,0,1,1
,2,0,74.25,3,1,0,0,1,1
5,1,1,77.83,4,1,1,1,1,1
5,1,1,90,4,1,1,0,1,1
6,2,0,77,2,1,1,1,1,1
6,1,1,75.75,3,2,0,1,1,1
6,3,0,90,3,1,0,1,1,1
4,2,0,82.5,3,1,0,0,1,1
6,2,1,87.25,4,1,1,1,1,1
5,2,0,81,3,1,1,1,1,1
6,3,0,81,3,1,0,1,1,1
4,3,0,75,3,1,0,1,1,1
6,2,0,85,3,0,0,1,1,1
1,1,1,82.2,2,0,0,0,1,1
5,3,0,74,3,1,0,1,1,1
5,3,0,,4,0,1,1,1,1
5,2,0,88.5,0,2,2,0,1,1
5,1,0,81,3,1,0,0,1,1
4,3,0,80,0,1,1,1,1,1
4,3,0,76,3,0,0,0,1,1
4,2,0,75.75,3,0,0,0,1,1
6,3,,90,3,0,0,0,0,1
4,3,0,82,2,0,0,2,1,1
4,1,0,77.83,2,0,0,0,1,1
4,3,1,81,4,1,1,1,1,1
5,1,1,80.5,3,0,0,0,0,1
5,3,0,90,4,1,0,0,1,1
4,2,0,86,1,0,0,1,1,1
6,2,0,89,4,1,1,1,1,1
5,1,1,,3,1,0,1,1,1
4,3,0,81,2,1,0,0,1,1
4,3,0,85.95,4,1,1,1,1,1
6,2,0,69,1,0,0,1,1,1
5,2,1,72.79,2,2,2,0,2,1
4,3,0,75,3,0,0,0,1,1
4,3,0,76,2,0,0,2,1,1
4,3,0,77.83,3,1,0,1,1,1
6,2,0,84,4,1,0,1,,1
6,2,,90,3,,0,1,,1
4,0,0,86,2,1,1,0,1,1
4,3,0,90,2,0,2,0,1,1
4,3,0,90,0,2,2,0,1,1
5,3,0,75,2,0,0,0,1,1
4,3,0,76,,,,1,,1
4,3,0,78,3,0,0,0,1,1
4,2,0,88.59,0,1,1,0,1,1
4,3,1,,2,0,0,0,1,1
4,2,0,,,,,0,1,1
4,2,0,83.46,4,1,0,0,1,1
6,1,0,83.46,2,0,0,1,0,1
4,3,0,81,3,0,0,1,1,1
6,1,0,77.83,1,0,0,0,1,1
6,1,1,78.9,1,0,0,1,1,1
4,3,0,70,,,,1,1,1
5,1,0,80,2,1,0,1,1,1
6,3,0,75,1,0,0,0,1,1
4,1,1,,3,1,0,1,1,1
4,2,0,84,3,0,0,0,1,1
5,3,1,90,4,1,1,1,0,1
4,3,0,82,3,1,0,1,1,1
6,2,1,88,3,0,0,1,1,1
0,2,0,,1,1,0,0,2,1
5,3,1,90,4,1,0,1,1,1
4,0,0,,3,1,0,0,1,1
6,2,0,72,2,0,0,0,1,1
5,2,1,83,3,1,0,1,1,1
4,3,0,82,2,1,0,0,,1
6,1,1,,3,1,1,1,1,1
4,2,0,70,2,1,0,1,1,1
6,1,0,83,1,1,0,1,1,1
4,1,0,,1,0,0,0,1,1
5,2,0,83,3,1,0,1,1,1
6,1,0,90,3,1,0,0,1,1
6,1,1,80,3,0,0,1,1,1
6,2,0,71.89,3,1,0,1,1,1
4,2,1,84,3,0,0,1,1,1
4,2,0,,4,1,0,1,1,1
5,3,1,76.3,,,,1,0,1
4,3,1,92,4,1,1,1,1,1
7,3,0,77.83,0,0,0,0,1,1
6,2,0,77.6,3,0,0,1,1,1
5,3,0,73,3,0,0,1,1,1
6,2,1,90,4,1,1,1,1,1
6,3,0,86,3,0,0,0,1,1
5,3,1,83,4,1,1,1,,1
6,1,,79.4,3,1,1,0,1,1
4,3,0,91.4,3,1,1,1,1,1
5,2,1,93.7,,,,1,1,1
4,2,0,79,3,0,0,0,1,1
4,2,1,89,4,0,0,0,,1
4,2,0,77.83,2,0,0,0,1,1
6,3,0,82.27,3,1,0,1,1,1
5,1,0,82,3,1,0,1,1,1
4,2,,90,3,1,0,2,1,1
5,1,,,2,0,0,1,1,1
4,3,0,84.68,4,1,1,1,1,1
5,2,0,88.59,0,0,2,1,0,1
6,3,0,68,3,0,0,0,1,1
5,3,0,89.2,2,1,1,2,0,1
6,2,1,80,4,1,1,1,1,1
4,3,1,,4,1,0,1,1,1
5,3,1,90,4,1,1,1,1,1
1,0,1,83,4,2,2,2,,1
5,3,0,90,4,1,1,1,1,1
5,2,0,74.75,4,1,0,0,1,1
6,1,0,77.83,3,1,0,1,1,1
6,1,0,77.83,3,1,0,1,1,1
4,2,1,78.9,3,1,0,1,1,1
6,2,0,90,3,1,0,1,1,1
,2,0,74.75,4,0,0,1,1,1
,2,0,78,3,1,0,1,1,1
4,3,1,83.46,3,0,0,2,2,1
6,2,1,77.83,1,1,1,1,,1
5,2,1,80,3,1,1,1,1,1
4,3,0,82.27,4,1,0,1,1,1
5,2,0,90,4,1,0,1,1,1
6,3,0,85.95,3,1,0,1,1,1
5,,0,77.83,4,1,0,1,1,1
6,3,1,77.83,1,1,1,1,2,1
5,2,0,83.46,3,0,1,1,1,1
4,3,1,87.25,0,0,1,2,,1
6,2,0,75.67,2,0,0,0,1,1
6,2,0,85.95,3,1,1,1,1,1
5,3,0,86.59,3,1,1,1,1,1
5,2,0,83.46,2,1,1,1,1,1
5,2,1,77.83,4,2,1,0,1,1
6,3,0,83.46,2,1,0,0,2,1
4,2,1,80,2,1,2,0,1,1
5,2,0,77.83,0,0,0,0,0,1
4,3,1,90,0,1,1,1,2,1
6,2,0,80,1,1,2,1,0,1
5,3,1,77.83,1,1,0,1,1,1
,2,1,90,4,1,0,1,0,1
,2,0,70,3,1,0,0,1,1
,3,0,84,3,0,0,1,1,1
4,1,0,77.83,3,1,0,1,1,1
5,2,0,75,3,1,0,1,1,1
5,3,0,74,3,0,0,0,1,1
6,3,0,83.46,0,0,2,1,0,1
4,1,0,77.83,1,0,2,0,1,1
6,1,1,,1,0,0,0,1,2
6,1,0,,1,0,0,0,1,2
6,3,1,80,4,1,1,1,0,2
6,3,1,76.78,3,0,0,0,,2
5,1,0,,2,0,0,0,1,2
6,3,0,,1,0,0,0,,2
6,3,0,90,0,0,0,0,1,2
4,1,0,,2,0,0,1,1,2
6,2,0,76.78,3,0,0,0,1,2
6,2,1,86.07,4,1,0,1,1,2
4,2,0,77.83,3,0,0,0,1,2
6,2,0,,1,0,0,0,1,2
6,3,0,77.2,4,1,1,0,0,2
5,3,0,77.83,2,0,0,0,1,2
4,3,0,74.75,3,1,0,1,1,2
6,3,0,89.01,4,1,1,1,1,2
6,2,0,72.03,2,0,0,0,1,2
4,3,1,89.01,3,1,1,1,1,2
5,3,0,80,3,1,0,0,1,2
4,,0,,2,0,0,0,1,2
6,3,0,73.76,2,0,0,1,1,2
4,3,1,90,2,0,1,1,1,2
5,3,0,73.37,2,0,0,0,1,2
4,0,0,,3,1,0,1,1,2
5,1,0,,4,1,0,1,1,2
5,3,0,76.78,3,1,1,1,1,2
5,3,0,75.75,3,0,0,0,1,2
5,2,1,83.46,0,1,0,1,1,2
6,2,1,81.12,1,0,0,1,1,2
6,3,,81.12,0,0,0,0,0,2
4,2,0,,2,1,0,0,,2
5,1,0,,2,0,1,0,,2
,2,1,81.58,3,1,0,1,1,2
5,2,0,72.79,3,0,0,0,1,2
5,3,1,77.83,3,1,0,0,1,2
5,3,1,77.83,4,0,1,1,1,2
4,2,1,87.25,1,0,1,1,1,2
5,2,1,78.9,3,0,0,1,1,2
5,1,0,,3,1,1,1,1,2
5,1,0,,2,2,2,1,1,2
6,2,1,83.46,3,0,1,1,1,2
6,1,1,83.95,4,0,1,1,1,2
6,3,0,72.8,2,0,0,0,1,2
4,3,0,78.15,3,1,0,0,0,2
6,0,0,,1,1,0,1,1,2
6,1,0,80,0,0,0,0,1,2
5,1,0,78.9,0,0,0,0,1,2
,3,0,,2,0,0,0,1,2
6,1,,,0,0,0,0,1,2
5,0,1,,1,1,0,0,1,2
5,3,0,70,2,0,0,0,1,2
0,2,0,,0,0,0,0,1,2
5,2,0,,2,1,0,0,1,2
6,3,0,70,,,,1,1,2
6,3,0,82.27,2,0,0,0,0,2
6,3,0,82.99,1,0,0,0,1,2
6,3,0,85.95,2,1,1,1,1,2
6,3,0,,2,0,0,0,1,2
5,3,1,75.05,2,0,0,0,1,2
4,3,0,70.92,1,0,1,1,1,2
,3,1,86.98,4,1,0,1,1,2
,3,1,81.69,4,1,1,1,2,2
4,1,1,74.75,1,0,0,0,1,2
5,1,1,,2,0,1,1,1,2
,2,1,79.44,4,0,0,1,1,2
4,2,0,75.75,2,1,0,1,1,2
4,1,0,,2,0,0,1,1,2
4,1,0,68.21,2,1,0,1,1,2
5,1,0,81.12,2,0,0,0,1,2
,2,1,73.76,4,0,0,1,1,2
5,3,0,87.25,,1,1,1,2,2
6,3,0,84.68,4,1,1,0,1,2
4,3,,87.92,4,1,1,1,1,2
5,3,0,76.78,2,0,0,0,0,2
4,3,0,75.75,3,0,0,0,1,2
4,3,0,70.91,2,0,0,0,,2
6,3,0,70.91,2,0,0,0,1,2
5,3,0,85.06,3,0,1,1,0,2
5,3,0,83.1,4,1,0,1,1,2
5,1,1,,3,0,0,0,1,2
6,2,0,79.77,2,1,0,0,1,2
4,3,0,77.83,4,1,0,,1,2
6,2,0,83.46,3,1,1,1,1,2
5,3,1,81.12,2,0,0,0,0,2
,3,0,73.27,3,0,0,0,1,2
6,3,0,71.28,3,1,0,0,0,2
5,3,0,71.84,2,0,0,0,1,2
4,2,1,77.83,2,0,1,0,1,2
4,2,0,74.75,2,0,1,0,,2
4,3,0,80.11,4,0,2,0,1,2
5,2,0,77.83,3,1,0,0,0,2
6,3,1,,4,1,1,1,1,2
5,3,1,76.88,2,0,0,0,1,2
6,3,0,88.59,3,0,0,0,1,2
6,3,0,71,2,0,0,0,1,2
4,3,0,75.35,3,0,0,0,1,2
6,3,0,80.67,3,0,0,1,1,2
6,0,1,85.56,3,1,0,0,,2
5,1,0,86.46,2,2,1,1,2,2
5,2,0,81.12,3,0,0,1,0,2
4,3,0,84.32,4,1,1,1,1,2
4,2,0,70.92,3,0,1,0,1,2
,2,0,83.46,3,1,0,1,1,2
,3,0,89.85,3,0,0,0,0,2
4,0,0,85.95,4,0,0,1,1,2
6,1,0,86.59,3,0,0,0,1,2
6,1,1,83.46,2,0,,0,1,2
5,2,1,87.65,4,1,1,1,1,2
6,0,1,87.25,3,0,1,1,1,2
,3,0,80.78,3,1,1,1,1,2
6,3,1,,4,0,0,0,1,2
6,3,0,82.27,4,0,1,0,1,2
6,1,0,74.75,3,0,0,1,1,2
6,2,0,81.7,2,1,0,0,1,2
,3,0,75.55,2,0,1,1,1,2
4,3,1,82.99,0,0,0,1,1,2
6,1,0,88.6,3,1,0,0,1,2
5,2,1,75.75,0,0,0,0,1,2
6,3,0,83.46,0,0,1,1,1,2
6,0,0,,4,1,0,0,,2
6,3,0,77.93,3,1,0,1,1,2
6,3,0,75.86,2,0,0,0,1,2
6,1,0,74.75,3,1,0,0,1,2
5,1,0,,4,0,0,1,1,2
4,1,0,,4,1,1,1,1,2
6,3,0,71.84,0,2,0,0,0,2
6,3,0,,0,2,1,0,0,2
6,3,0,85.44,4,0,0,1,0,2
4,3,0,74.75,3,0,1,1,1,2
5,0,1,77.83,0,0,2,0,0,2
6,2,1,80,4,0,0,0,1,2
5,1,0,87.25,4,1,1,0,1,2
5,3,1,81.81,1,1,0,0,1,2
5,3,0,73.76,0,1,1,0,0,2
5,3,0,69.09,4,0,0,0,1,2
6,0,0,80,3,1,0,1,1,2
6,3,0,82.28,2,0,0,1,1,2
5,3,0,,3,0,1,1,1,2
4,1,1,78.9,4,1,1,1,1,2
6,3,1,84.19,4,1,0,1,1,2
5,1,1,73.76,0,0,0,1,1,2
6,1,1,83.46,3,0,2,2,1,2
5,1,1,75.75,3,0,0,0,1,2
5,3,0,84.68,3,1,2,1,1,2
3,2,1,79.88,3,1,,0,1,2
4,3,0,80,4,1,1,1,1,2
4,1,0,,2,0,1,0,1,2
5,3,0,83.58,3,0,0,0,1,2
0,3,1,85.95,0,0,0,0,0,2
0,2,0,80,3,1,0,0,0,2
1,1,1,75.75,2,0,0,0,0,2
5,3,0,74.75,0,0,0,0,0,2
2,2,0,74.75,2,0,0,1,0,2
2,3,1,81.12,2,0,0,0,0,2
0,2,1,83.46,2,0,0,0,0,2
1,2,0,,2,1,0,1,0,2
0,3,0,73.76,2,0,0,0,0,2
2,2,1,75.75,2,0,0,1,0,2
0,2,0,71.85,2,0,0,0,0,2
1,3,1,84.68,2,0,0,0,0,2
