major,level,gender,gpa,ethical,scenario1,scenario2,scenario3,course,university
6,1,0,95.44,3,1,1,1,1,0
3,3,0,69.7,2,0,1,1,1,0
5,2,1,89.9,3,1,0,1,1,0
5,1,1,81,3,1,0,1,1,0
5,1,1,91.25,3,1,0,1,1,0
0,3,0,72,3,1,0,0,0,0
5,3,0,81,4,1,0,1,1,0
6,3,0,75,2,0,0,1,1,0
5,3,1,78,3,1,0,1,0,0
6,3,1,75,4,1,1,1,1,0
5,1,1,,0,1,1,1,1,0
5,3,0,78.65,3,1,0,0,1,0
5,2,1,89,3,1,1,1,1,0
5,2,1,84,2,1,1,1,1,0
2,0,0,,3,1,1,0,1,0
2,1,0,,4,,0,0,1,0
3,1,0,,4,1,0,0,1,0
4,1,0,,4,1,0,0,1,0
3,1,0,,2,1,1,1,2,0
6,3,0,89.9,3,0,0,1,1,0
6,1,0,85.06,4,1,0,1,1,0
6,1,0,66.67,4,1,0,1,1,0
3,1,0,,4,1,1,0,1,0
4,3,1,80,3,1,0,0,1,0
5,3,1,75,3,0,0,0,1,0
1,1,1,,3,0,1,1,1,0
1,1,1,,3,0,1,1,1,0
1,1,1,,3,0,1,1,1,0
3,1,1,,3,0,1,0,1,0
2,1,1,83,4,1,1,1,1,0
5,3,0,,2,0,0,0,1,0
2,3,1,79,3,0,0,1,1,0
6,3,0,75,3,0,1,1,0,0
5,3,1,74,2,0,0,1,1,0
3,3,0,82,3,1,1,0,0,0
5,1,1,,4,1,0,1,1,0
5,3,1,83,3,0,0,0,1,0
0,1,1,87,4,1,0,1,1,0
3,1,1,,4,1,1,1,1,0
3,1,1,78,1,0,0,0,1,0
2,1,1,72,4,1,1,2,1,0
3,3,0,82.28,4,0,0,1,1,0
3,2,0,90,4,1,1,0,1,0
1,2,1,80,1,1,0,0,0,0
2,1,0,74,3,0,0,0,1,0
3,3,1,83,4,0,1,1,1,0
0,2,0,76,2,0,0,0,0,0
0,1,1,73,2,0,1,1,1,0
5,3,0,79.6,3,1,0,1,0,0
5,3,0,79,4,1,0,1,0,0
5,1,1,94.25,0,0,0,0,1,0
5,1,0,72,0,0,0,0,1,0
5,1,0,75.57,0,0,0,0,1,0
6,2,1,78,0,0,0,0,1,0
6,2,0,71.43,0,0,0,0,1,0
4,1,0,69,4,0,0,0,1,0
6,1,0,74,1,0,0,0,1,0
4,2,1,86,3,0,0,0,1,0
4,3,1,75,3,0,1,1,1,0
5,3,1,76,2,1,0,0,1,0
5,3,1,78,2,2,0,,0,0
5,3,1,86.13,1,0,0,0,1,0
6,3,0,84,3,1,1,1,1,0
4,2,0,,4,0,0,1,1,0
4,2,1,,4,1,,1,1,0
4,2,1,,3,0,0,1,1,0
7,3,1,90,2,0,0,0,1,0
6,2,0,90,4,2,0,0,1,0
4,2,0,70,4,1,0,1,0,0
6,3,1,83.5,4,1,0,1,1,0
4,3,0,,2,1,1,1,1,0
6,2,0,79.5,3,1,1,1,1,0
6,3,1,92.15,4,1,0,0,1,0
4,3,0,90.75,4,1,0,0,1,0
6,2,0,81,4,1,,1,1,0
7,2,0,78.5,3,1,0,0,1,0
6,1,0,81,0,1,1,1,1,0
4,1,0,71,2,1,0,0,1,0
7,1,0,,2,0,0,0,1,0
5,2,0,71,4,1,0,0,0,0
5,2,0,91.02,4,1,1,1,1,0
5,3,0,74,4,1,0,0,0,0
0,3,0,73.5,4,1,0,0,0,0
3,1,0,,2,0,0,0,1,0
2,3,1,79,2,0,1,1,1,0
3,1,1,,3,1,1,1,1,0
2,1,0,,2,0,1,1,1,0
2,1,1,,3,0,1,1,1,0
3,1,,,1,0,1,1,1,0
2,1,1,78.01,1,0,1,0,2,0
0,3,0,72,2,0,0,0,0,0
0,3,0,,2,1,0,0,1,0
0,3,0,75.21,2,0,1,0,1,0
0,3,0,78.35,4,0,0,0,0,0
2,3,1,91.5,4,0,1,1,1,0
3,3,1,75,2,0,0,0,1,0
0,3,0,80,2,0,0,1,0,0
3,1,0,80,4,1,0,0,1,0
3,3,1,78,4,1,0,1,2,0
3,3,1,86,4,0,1,1,2,0
5,2,0,78.4,3,0,1,0,1,0
4,3,1,84.5,4,1,0,0,1,0
5,3,1,84,2,2,0,1,1,0
4,1,1,,2,0,1,1,1,0
6,3,0,84.4,3,0,0,1,1,0
6,3,0,88,4,1,0,0,1,0
4,3,1,90.28,3,0,0,1,1,0
6,3,0,83,3,1,1,1,1,0
4,3,1,80.03,4,0,1,1,1,0
4,3,0,83,3,1,1,0,1,0
4,2,0,75,2,1,0,1,1,0
4,3,0,75,3,0,0,0,0,0
6,3,1,80,2,1,0,0,1,0
5,2,0,70,2,0,0,0,1,0
1,2,0,,3,0,0,1,2,0
0,2,1,93,4,0,0,0,0,0
1,1,1,,4,1,0,0,1,0
0,1,1,75,4,0,0,1,1,0
0,2,1,75,2,0,1,1,0,0
0,2,1,84,4,0,0,0,0,0
1,2,1,,4,1,0,1,0,0
1,2,1,80.82,4,0,1,1,1,0
0,3,1,87,4,0,0,0,0,0
1,3,1,87,3,1,0,0,0,0
0,3,0,73,4,1,0,1,1,0
1,3,1,91.57,4,1,0,1,0,0
3,3,1,87.5,2,1,0,0,2,0
2,2,0,70.7,3,0,0,0,1,0
0,3,0,72,3,1,0,0,0,0
1,3,1,90.43,4,1,0,1,0,0
5,2,0,84,4,0,0,1,1,0
3,1,0,,2,1,0,1,1,0
4,1,1,,4,1,1,1,1,0
0,3,1,80.33,4,1,0,0,0,0
4,2,1,90.5,3,1,0,1,1,0
4,2,1,88,3,1,0,1,1,0
4,2,1,90.2,3,1,0,1,1,0
3,3,0,73,4,,0,1,1,0
5,3,0,78,0,2,0,0,1,0
3,3,1,73,3,0,0,0,1,0
4,2,1,75,4,0,1,1,1,0
5,2,0,70,2,0,0,1,1,0
6,1,0,85,3,0,0,1,1,0
3,1,0,75,2,1,0,1,1,0
5,2,0,79,1,1,1,2,1,0
6,3,1,,4,1,1,0,1,0
6,2,0,,4,0,0,0,1,0
5,2,0,70,2,1,2,1,0,0
6,2,0,83,0,0,1,1,1,0
6,2,0,81.45,3,0,0,0,1,0
5,3,0,83,3,1,1,1,1,0
3,2,1,85,2,2,1,1,1,0
2,1,1,,4,0,0,1,1,0
0,1,0,85,3,0,1,1,1,0
4,1,0,,4,1,1,,1,0
5,1,1,92,3,0,0,0,1,0
5,2,1,89,4,1,0,1,1,0
6,3,0,70,2,2,1,0,1,0
5,3,0,71.82,2,0,0,0,1,0
5,2,0,78,1,0,0,0,1,0
6,1,0,75,3,0,0,1,1,0
0,3,0,73,3,0,0,0,1,0
0,3,0,76,2,2,1,1,0,0
5,3,0,74,0,0,0,0,1,0
3,2,0,75,3,1,1,1,1,0
6,3,0,84.81,2,0,0,0,1,0
0,3,0,77,1,0,0,0,0,0
5,2,0,80.7,3,0,0,1,1,0
5,2,0,75.06,2,0,0,1,1,0
6,3,0,72,2,0,0,1,1,0
6,1,0,69.99,0,0,0,1,1,0
5,1,1,80,2,0,1,1,1,0
4,2,0,70,2,0,0,0,1,0
2,3,0,90,4,2,2,2,2,0
1,3,0,85,2,0,1,1,0,0
6,3,0,80.33,4,0,1,1,0,0
3,2,0,80.19,3,0,2,2,1,0
0,3,0,80.34,1,0,0,1,1,0
0,3,0,71,3,0,0,0,1,0
5,3,1,87,3,0,0,1,1,0
6,1,0,,3,0,0,1,1,0
5,2,0,72,2,1,1,1,0,0
0,3,0,73,3,1,1,1,0,0
,1,0,65.8,0,0,0,0,1,0
6,1,0,,1,0,0,1,1,0
5,1,1,,3,0,1,1,1,0
5,3,0,73,3,1,0,0,0,0
5,3,0,,3,0,0,0,0,0
3,3,0,86.8,4,1,0,1,0,0
5,3,1,87,1,0,0,1,1,0
5,2,0,82,3,1,1,1,1,0
3,1,1,80.5,3,0,1,1,1,0
0,1,0,,3,0,0,0,0,0
6,1,0,95.44,3,1,1,1,1,0
1,1,1,,0,0,0,0,1,0
6,1,0,,4,0,1,1,1,0
4,1,0,77,2,1,0,0,1,0
6,1,0,82,2,2,0,1,1,0
6,3,0,93,4,1,0,0,1,0
4,3,1,91,4,1,1,1,1,0
4,3,0,87,3,1,0,0,1,0
6,3,0,74,3,0,0,0,1,0
0,1,0,,2,0,0,0,1,0
6,3,0,71,0,0,0,1,0,0
2,2,0,76,4,0,0,0,1,0
5,3,0,82,3,0,0,0,1,0
5,3,0,79,3,0,0,0,1,0
2,3,0,71,4,0,1,0,1,0
2,1,1,,,1,2,2,1,0
3,3,0,73.2,1,0,1,1,1,0
0,0,1,82.8,4,0,1,1,1,0
0,2,0,68.85,4,2,0,2,1,0
2,3,1,74,2,0,0,0,1,0
6,3,0,80,3,1,0,0,1,0
0,1,0,69.5,1,0,0,0,1,0
3,2,0,73,0,0,0,0,1,0
3,3,0,71,2,0,0,0,1,0
0,3,0,73,4,0,0,0,0,0
5,2,0,72,3,1,0,0,1,0
0,3,0,69.2,3,0,1,1,0,0
2,2,,83.25,3,0,0,1,1,0
3,1,0,,2,0,0,0,,0
4,3,1,96,3,1,1,1,1,0
3,1,0,,3,1,1,1,1,0
4,1,0,,3,1,1,0,1,0
2,3,0,74,3,0,0,0,0,0
1,2,0,75,4,1,0,0,1,0
2,3,0,80,4,1,1,0,0,0
2,3,1,75,1,0,0,0,,0
1,1,1,70,3,0,1,1,1,0
3,1,0,,2,1,1,1,1,0
2,2,1,82.5,4,0,0,1,1,1
0,2,1,78.5,3,0,0,1,1,1
2,3,1,78,3,0,0,0,2,1
2,1,0,83.5,3,0,0,1,1,1
2,1,0,75,3,1,0,0,1,1
3,3,0,78,0,1,0,0,0,1
2,3,1,88,3,1,0,1,0,1
2,3,1,,3,0,0,0,1,1
3,2,0,75,3,1,0,1,1,1
3,2,1,93,3,1,0,1,1,1
3,3,1,,4,0,0,0,1,1
3,3,1,80,,0,0,0,0,1
3,1,0,,4,0,1,0,1,1
0,2,0,76.78,3,0,0,0,0,1
3,2,0,,3,0,0,0,0,1
3,3,1,87.78,4,1,1,1,0,1
3,1,1,,2,0,2,0,1,1
3,2,1,84,3,0,0,0,1,1
2,2,1,78,4,0,0,0,1,1
2,2,1,71,3,0,0,1,2,1
0,2,0,74,3,0,0,1,1,1
1,2,1,81.13,2,0,0,1,1,1
2,2,1,78.9,3,1,0,1,1,1
3,2,0,77,2,0,0,0,1,1
3,2,0,85.94,3,0,0,1,1,1
3,3,0,74,1,1,1,1,2,1
3,1,0,88.6,4,0,0,0,1,1
3,2,0,81.5,3,0,0,0,1,1
2,2,1,85,4,0,0,1,0,1
2,2,1,68.21,2,1,0,1,1,1
2,2,1,75,4,0,0,1,1,1
2,2,1,76,4,1,0,1,1,1
3,2,0,79.01,1,0,0,0,1,1
3,3,0,78,3,1,,0,0,1
0,2,0,75.76,4,1,1,1,,1
3,2,,92.4,4,1,0,1,1,1
2,1,0,70,1,0,0,0,1,1
0,2,1,80,3,0,0,1,1,1
3,1,0,,,0,0,0,1,1
3,1,0,,2,0,0,0,1,1
2,2,0,78,2,0,0,1,1,1
3,2,1,88,2,0,0,0,1,1
3,2,1,92,1,0,0,0,1,1
2,2,1,82,4,0,0,0,1,1
3,2,1,,4,0,0,0,1,1
3,2,0,82,2,1,0,0,1,1
3,2,0,70,2,1,0,0,1,1
2,2,1,83,4,1,1,1,1,1
0,1,0,68,3,1,0,1,1,1
3,2,0,,4,1,0,0,1,1
3,3,1,79,4,0,0,0,0,1
4,2,0,80.5,3,1,0,1,1,1
3,2,0,84.69,0,1,2,2,,1
2,2,0,80,2,0,0,0,1,1
3,3,1,83,3,0,1,0,0,1
3,1,0,70,0,0,0,0,1,1
0,2,1,77.83,3,0,0,0,1,1
0,2,1,80,2,0,0,0,1,1
2,3,0,82,3,0,1,1,1,1
3,2,1,78,0,0,0,0,1,1
5,1,0,80,2,1,2,1,1,1
0,1,0,,4,0,0,0,1,1
3,1,1,,,1,1,0,1,1
2,1,1,,1,0,0,1,1,1
0,3,0,87,3,1,0,0,1,1
3,3,0,78,4,0,0,1,0,1
3,2,1,80,3,0,0,0,1,1
3,2,0,74.75,4,1,0,0,1,1
3,3,0,77.83,0,1,0,0,2,1
3,2,0,,1,0,0,0,1,1
6,2,0,82,4,0,1,1,1,1
6,2,0,75.76,3,0,0,0,1,1
4,2,0,77.83,3,1,1,1,1,1
2,2,1,,2,0,0,1,1,1
0,2,0,77.83,4,1,0,0,1,1
4,3,1,76,2,0,0,0,2,1
3,3,0,87.25,2,0,1,0,0,1
3,3,0,84,4,1,1,1,0,1
3,2,0,78.88,2,0,1,0,1,1
3,2,0,78.9,1,1,0,0,1,1
